Date,Clicks,Impressions,CTR,Position
2023-05-11,33,1300,2.54%,27.05
2023-05-10,32,1318,2.43%,27.63
2023-05-09,42,1422,2.95%,27.54
2023-05-08,48,1424,3.37%,25.34
2023-05-07,38,1288,2.95%,27.62
2023-05-06,30,1112,2.7%,27.69
2023-05-05,32,1122,2.85%,27.97
2023-05-04,25,1207,2.07%,27.65
2023-05-03,36,1206,2.99%,25.85
2023-05-02,33,1217,2.71%,28.76
2023-05-01,38,1238,3.07%,28.17
2023-04-30,40,1209,3.31%,28.98
2023-04-29,29,1123,2.58%,28.3
2023-04-28,40,1064,3.76%,26.31
2023-04-27,26,1229,2.12%,26.56
2023-04-26,35,1457,2.4%,26.85
2023-04-25,24,1489,1.61%,29.79
2023-04-24,37,1391,2.66%,27.51
2023-04-23,37,1274,2.9%,26.32
2023-04-22,44,1278,3.44%,25.05
2023-04-21,33,1102,2.99%,26.03
2023-04-20,33,1222,2.7%,27.48
2023-04-19,30,1347,2.23%,25.27
2023-04-18,55,1345,4.09%,25.33
2023-04-17,34,1592,2.14%,25.55
2023-04-16,43,1484,2.9%,23.89
2023-04-15,39,1474,2.65%,26.65
2023-04-14,34,1501,2.27%,28.01
2023-04-13,48,1624,2.96%,26.21
2023-04-12,30,1536,1.95%,27.85
2023-04-11,38,1466,2.59%,27.91
2023-04-10,37,1561,2.37%,25.04
2023-04-09,31,1459,2.12%,27.39
2023-04-08,43,1502,2.86%,26.79
2023-04-07,33,1467,2.25%,24.89
2023-04-06,40,1457,2.75%,25.57
2023-04-05,17,1313,1.29%,26.09
2023-04-04,31,1201,2.58%,25.86
2023-04-03,34,1200,2.83%,29.04
2023-04-02,38,1124,3.38%,28.69
2023-04-01,34,1024,3.32%,26.67
2023-03-31,28,1090,2.57%,29.91
2023-03-30,33,1193,2.77%,27.24
2023-03-29,28,1205,2.32%,26.13
2023-03-28,39,1597,2.44%,25.83
2023-03-27,36,1489,2.42%,27.96
2023-03-26,45,1372,3.28%,28.15
2023-03-25,39,1288,3.03%,27.74
2023-03-24,32,1386,2.31%,28.39
2023-03-23,28,1315,2.13%,25.53
2023-03-22,33,1311,2.52%,27.21
2023-03-21,37,1393,2.66%,26.35
2023-03-20,34,1447,2.35%,27.56
2023-03-19,42,1328,3.16%,28.74
2023-03-18,52,1330,3.91%,28.75
2023-03-17,24,1314,1.83%,28.57
2023-03-16,21,1489,1.41%,29.31
2023-03-15,31,1379,2.25%,27.81
2023-03-14,37,1354,2.73%,29.33
2023-03-13,32,1305,2.45%,30.78
2023-03-12,45,1264,3.56%,27.52
2023-03-11,53,1194,4.44%,27.78
2023-03-10,37,1210,3.06%,28.79
2023-03-09,32,1350,2.37%,26.6
2023-03-08,26,1127,2.31%,28.38
2023-03-07,29,1208,2.4%,27.14
2023-03-06,33,1239,2.66%,28.44
2023-03-05,48,1291,3.72%,29.07
2023-03-04,24,1112,2.16%,26.94
2023-03-03,26,1269,2.05%,31.08
2023-03-02,27,1307,2.07%,27.83
2023-03-01,31,1205,2.57%,27.41
2023-02-28,34,1187,2.86%,29.4
2023-02-27,26,1256,2.07%,29.09
2023-02-26,38,1224,3.1%,28.92
2023-02-25,39,1171,3.33%,27.68
2023-02-24,38,1111,3.42%,27.62
2023-02-23,32,1175,2.72%,27.17
2023-02-22,32,1262,2.54%,29.18
2023-02-21,32,1486,2.15%,27.72
2023-02-20,37,1200,3.08%,29.91
2023-02-19,37,1198,3.09%,28.38
2023-02-18,47,1237,3.8%,29.18
2023-02-17,29,1134,2.56%,26.82
2023-02-16,26,1215,2.14%,30.33
2023-02-15,34,1144,2.97%,30.36
2023-02-14,33,1442,2.29%,27.78
2023-02-13,47,1613,2.91%,28.63
2023-02-12,37,1354,2.73%,30.02
